,delayline
0,0.023524868161600498
1,0.006649437026745212
2,0.008957436998591492
3,0.013199992907250694
4,0.01752945882171939
5,0.03669418673856137
6,0.042561975896045864
7,0.021968624068072526
8,0.016855919981497068
9,0.009426352376726227
10,0.016549960351956657
11,0.02207573405494867
12,0.01125525147961798
13,0.009487148173564592
14,0.04500380569401502
15,0.009248633580397903
16,0.02515422336214254
17,0.050101381900166664
18,0.007070924376275745
19,0.013592948410029717
20,0.010764509338683455
21,0.009682988926387718
22,0.021695418997795483
23,0.013706332770059084
24,0.0447347994708347
25,0.012357025109093008
26,0.0403496019904127
27,0.018405616600124068
28,0.026996092013681586
29,0.019125016931082334
30,0.01925413227104258
31,0.01891381855122968
32,0.06543276597241064
33,0.004901498940716462
34,0.051121761861564315
35,0.0210918910735415
36,0.019450988965320975
37,0.022759964020438936
38,0.01370222808438884
39,0.03759314062634734
40,0.008531559816341952
41,0.022009565922030273
42,0.0057692904335367645
43,0.01855504411548017
44,0.021287327987102832
45,0.0306662870560071
46,0.012656788681383738
47,0.010981799620759713
48,0.03928918418040518
49,0.01404727249482824
