,delayline
0,0.03157850638165919
1,0.01757563618831499
2,0.004129664431688014
3,0.011840564702073494
4,0.011242747917505631
5,0.020743324529816684
6,0.01767223813369576
7,0.022516409317664438
8,0.02576145349588457
9,0.01082019048059012
10,0.013703271776952498
11,0.015589163636914864
12,0.0081083390653177
13,0.013537076344188487
14,0.032197948819158995
15,0.01584462952476766
16,0.01405870973700112
17,0.017537147428355347
18,0.006938797801212302
19,0.006541364776049578
20,0.0077627733241513895
21,0.023350757880249273
22,0.03363322609210752
23,0.02726348799390881
24,0.037797374091191625
25,0.01861805188711809
26,0.01951123446187842
27,0.014143330478880146
28,0.01632784678127089
29,0.010629411392672705
30,0.015231165213509302
31,0.027120497015537162
32,0.008840091831799787
33,0.01274432003422965
34,0.024114713563757995
35,0.01533808007851214
36,0.01238954949636863
37,0.009545021204130425
38,0.012049530989120483
39,0.015944621593552973
40,0.008607153594535915
41,0.01706206807741526
42,0.04708275033716079
43,0.03080415329294848
44,0.02657384556278508
45,0.012590774899051398
46,0.01737043721480346
47,0.029896917070438508
48,0.01607846416779076
49,0.01658462704234447
