,test
0,0.4803459587279245
1,0.5752736382202027
2,0.4691347951079063
3,0.5539947307612783
4,0.46534862516353753
5,0.6451062330762725
6,0.5679948560824565
7,0.5611129034729605
8,0.46360039150789795
9,0.45826066121723374
10,0.44056806936896176
11,0.46529211311702384
12,0.509063733046097
13,0.5215821904553621
14,0.4388830618629338
15,0.4332450652544918
16,0.46121307494733366
17,0.5633805181842153
18,0.5156127993970079
19,0.5339919658417962
20,0.4382514361113298
21,0.39651210837665474
22,0.6621332463888941
23,0.4350232189987154
24,0.5201186915553542
25,0.5061983173760983
26,0.37611102259380796
27,0.5591278759828029
28,0.45178388409075987
29,0.5279952496010915
30,0.41711221455600944
31,0.5653900412079401
32,0.46596941949667486
33,0.4548882290827978
34,0.5815841299454307
35,0.4474869298079459
36,0.5033221296256466
37,0.5519371257811586
38,0.4836872037750709
39,0.41686285491473307
40,0.6795701052001394
41,0.48731431787393487
42,0.4545770592437824
43,0.5388409169448932
44,0.5419898133309768
45,0.48466322784478616
46,0.5490229517549851
47,0.48100274585356434
48,0.41968544817712206
49,0.5378714521703679
