,test
0,0.453097427369702
1,0.3967297445048513
2,0.48986310961094737
3,0.4816531005754467
4,0.45098642933400324
5,0.44503362089707343
6,0.3234795066822713
7,0.44213377380542257
8,0.5574009071277962
9,0.5002100473480211
10,0.46443310197025134
11,0.5425220568879504
12,0.3795848553889907
13,0.4205449924153749
14,0.48854166949135674
15,0.38878650814651744
16,0.39611703022821615
17,0.36181100557277657
18,0.39493099191666814
19,0.5052395090590098
20,0.43892692760394614
21,0.4685936656716768
22,0.3867770405756905
23,0.37988825746437066
24,0.52286343447368
25,0.39929627822822134
26,0.39951431464513093
27,0.48165490079109075
28,0.5195540844409074
29,0.5656010496864418
30,0.4646856022710366
31,0.42791156922448803
32,0.45455567816977777
33,0.4967120775375785
34,0.47465874184528384
35,0.4052079664834595
36,0.43544517213049355
37,0.518851248309466
38,0.271389131068315
39,0.4752634264856463
40,0.4170806410832291
41,0.37649114635801345
42,0.46331840608524905
43,0.5082637190796794
44,0.48477312594447736
45,0.3147484114040755
46,0.38363955298333335
47,0.5515024619243739
48,0.38912747205746595
49,0.5245576277137585
